297,2,硬卧下,235
2345,2,硬卧下,244
143,2,硬卧下,250
2684,2,硬卧下,257
1873,2,硬卧下,267
264,2,硬卧下,275
2069,2,硬卧下,283
807,2,硬卧下,283
1549,2,硬卧下,294
358,2,软卧上,0
355,2,软卧上,76
909,2,软卧上,97.5
2663,2,软卧上,115.5
1955,2,软卧上,130.5
789,2,软卧上,143.5
929,2,软卧上,188
630,2,软卧上,232
2358,2,软卧上,240
591,2,软卧上,298
2721,2,软卧上,310
1699,2,软卧上,321
2105,2,软卧上,321
1321,2,软卧上,333.5
297,2,软卧上,333.5
2345,2,软卧上,343.5
143,2,软卧上,355.5
2684,2,软卧上,364.5
1873,2,软卧上,380.5
264,2,软卧上,391.5
2069,2,软卧上,404.5
807,2,软卧上,404.5
1549,2,软卧上,418.5
358,2,软卧下,0
355,2,软卧下,86
909,2,软卧下,110
2663,2,软卧下,131
1955,2,软卧下,147
789,2,软卧下,162
929,2,软卧下,212
630,2,软卧下,262
2358,2,软卧下,271
591,2,软卧下,336
2721,2,软卧下,350
1699,2,软卧下,362
2105,2,软卧下,362
1321,2,软卧下,376
297,2,软卧下,376
2345,2,软卧下,387
143,2,软卧下,401
2684,2,软卧下,411
1873,2,软卧下,429
264,2,软卧下,441
2069,2,软卧下,456
807,2,软卧下,456
1549,2,软卧下,472
182,3,硬座,0
180,3,硬座,7
1041,3,硬座,14.5
147,3,硬座,21.5
231,3,硬座,32.5
179,3,硬座,38.5
435,3,硬座,48.5
436,3,硬座,54.5
2297,3,硬座,56.5
618,3,硬座,69
2678,3,硬座,86
137,3,硬座,93
729,3,硬座,98
1501,3,硬座,109
1158,3,硬座,113.5
931,3,硬座,118.5
447,3,硬座,134.5
1130,3,硬座,138.5
182,3,硬卧上,0
180,3,硬卧上,53
1041,3,硬卧上,60.5
147,3,硬卧上,67.5
231,3,硬卧上,78.5
179,3,硬卧上,84.5
435,3,硬卧上,94.5
436,3,硬卧上,102.5
2297,3,硬卧上,107.5
618,3,硬卧上,130
2678,3,硬卧上,159
137,3,硬卧上,172
729,3,硬卧上,180
1501,3,硬卧上,200
1158,3,硬卧上,207.5
931,3,硬卧上,215.5
447,3,硬卧上,243.5
1130,3,硬卧上,250.5
790,3,硬卧上,260.5
182,3,硬卧中,0
180,3,硬卧中,56
1041,3,硬卧中,63
147,3,硬卧中,71
231,3,硬卧中,82
179,3,硬卧中,88
435,3,硬卧中,99
436,3,硬卧中,107
2297,3,硬卧中,112
618,3,硬卧中,135
2678,3,硬卧中,166
137,3,硬卧中,179
729,3,硬卧中,187
1501,3,硬卧中,208
1158,3,硬卧中,216
931,3,硬卧中,224
447,3,硬卧中,253
1130,3,硬卧中,261
790,3,硬卧中,271
182,3,硬卧下,0
180,3,硬卧下,60
1041,3,硬卧下,69
147,3,硬卧下,77
231,3,硬卧下,89
179,3,硬卧下,96
435,3,硬卧下,107
436,3,硬卧下,116
2297,3,硬卧下,122
618,3,硬卧下,147
2678,3,硬卧下,180
137,3,硬卧下,195
729,3,硬卧下,204
1501,3,硬卧下,226
1158,3,硬卧下,235
931,3,硬卧下,244
447,3,硬卧下,275
1130,3,硬卧下,283
