798,1,0,0
1549,1,0,7.0
807,1,0,10.5
2069,1,0,12.5
1083,1,0,14.5
264,1,0,18.5
1873,1,0,21.5
2684,1,0,29.5
1736,1,0,35.5
143,1,0,36.5
297,1,0,45.0
2105,1,0,47.5
1699,1,0,48.5
2721,1,0,56.5
591,1,0,63.0
2358,1,0,82.0
929,1,0,98.0
789,1,0,113.5
2663,1,0,130.5
909,1,0,134.5
355,1,0,148.5
798,1,2,0
1549,1,2,53.0
807,1,2,56.5
2069,1,2,58.5
1083,1,2,60.0
264,1,2,64.5
1873,1,2,67.5
2684,1,2,75.5
1736,1,2,81.5
143,1,2,82.5
297,1,2,91.0
2105,1,2,93.5
1699,1,2,94.5
2721,1,2,107.5
591,1,2,120.0
2358,1,2,152.0
929,1,2,180.0
789,1,2,207.5
2663,1,2,236.5
909,1,2,243.5
355,1,2,268.5
358,1,2,272.5
798,1,3,0
1549,1,3,58.0
807,1,3,61.5
2069,1,3,63.5
1083,1,3,65.5
264,1,3,69.5
1873,1,3,72.5
2684,1,3,80.5
1736,1,3,86.5
143,1,3,87.5
297,1,3,96.0
2105,1,3,98.5
1699,1,3,99.5
2721,1,3,111.5
591,1,3,123.0
2358,1,3,157.0
929,1,3,186.0
789,1,3,215.5
2663,1,3,245.5
909,1,3,252.5
355,1,3,278.5
358,1,3,284.5
798,1,4,0
1549,1,4,61.0
807,1,4,64.5
2069,1,4,66.5
1083,1,4,68.5
264,1,4,72.5
1873,1,4,75.5
2684,1,4,83.5
1736,1,4,89.5
143,1,4,90.5
297,1,4,99.0
2105,1,4,101.5
1699,1,4,102.5
2721,1,4,114.5
591,1,4,127.0
2358,1,4,163.0
929,1,4,194.0
789,1,4,222.5
2663,1,4,254.5
909,1,4,261.5
355,1,4,287.5
358,1,4,291.5
798,1,5,0
1549,1,5,78.5
807,1,5,85.5
2069,1,5,88.5
1083,1,5,94.5
264,1,5,99.5
1873,1,5,105.5
2684,1,5,115.5
1736,1,5,124.5
143,1,5,127.5
297,1,5,141.0
2105,1,5,146.5
1699,1,5,149.5
2721,1,5,167.5
591,1,5,188.0
2358,1,5,240.0
929,1,5,287.0
789,1,5,333.5
2663,1,5,380.5
909,1,5,391.5
355,1,5,430.5
358,1,5,434.5
798,1,6,0
1549,1,6,84.5
807,1,6,91.5
